Point;Latitude;Longitude;Contexte;Période;ATX35;ATXND;ATNND;
6627;44.8499;0.4651;RCP4.5;H2;4.77;40;-15;
6628;44.8515;0.5662;RCP4.5;H2;4.45;40;-15;
6629;44.8531;0.6673;RCP4.5;H2;1.69;41;-15;
6630;44.8546;0.7685;RCP4.5;H2;1.69;41;-15;
6631;44.856;0.8696;RCP4.5;H2;5.75;42;-15;
6632;44.8573;0.9707;RCP4.5;H2;5.13;41;-15;
6633;44.8585;1.0719;RCP4.5;H2;5.25;41;-15;
6634;44.8596;1.1731;RCP4.5;H2;4.87;40;-15;
6635;44.8606;1.2742;RCP4.5;H2;5.4;40;-15;
6636;44.8615;1.3754;RCP4.5;H2;5.41;40;-15;
6637;44.8624;1.4766;RCP4.5;H2;7.73;41;-16;
6638;44.8631;1.5777;RCP4.5;H2;7.53;40;-15;
6639;44.8638;1.6789;RCP4.5;H2;7.92;42;-16;
6640;44.8643;1.7801;RCP4.5;H2;7.3;42;-16;
6641;44.8648;1.8812;RCP4.5;H2;6.42;42;-16;
6642;44.8652;1.9824;RCP4.5;H2;4.55;43;-16;
6643;44.8654;2.0836;RCP4.5;H2;1.95;44;-17;
6644;44.8656;2.1848;RCP4.5;H2;2.05;44;-17;
6645;44.8657;2.286;RCP4.5;H2;1.94;45;-17;
6646;44.8657;2.3871;RCP4.5;H2;2.08;46;-17;
6647;44.8656;2.4883;RCP4.5;H2;1.66;45;-16;
6648;44.8654;2.5895;RCP4.5;H2;1.53;46;-17;
6649;44.8652;2.6907;RCP4.5;H2;2.19;51;-15;
6650;44.8648;2.7919;RCP4.5;H2;1.05;50;-15;
6651;44.8643;2.893;RCP4.5;H2;2.13;52;-15;
6652;44.8638;2.9942;RCP4.5;H2;1.96;52;-15;
6653;44.8631;3.0954;RCP4.5;H2;0.83;52;-15;
6654;44.8624;3.1966;RCP4.5;H2;0.22;52;-15;
6655;44.8616;3.2977;RCP4.5;H2;0.71;52;-14;
6656;44.8606;3.3989;RCP4.5;H2;0.18;53;-15;
6657;44.8596;3.5001;RCP4.5;H2;0.03;52;-17;
6658;44.8585;3.6012;RCP4.5;H2;0.25;52;-16;
6659;44.8573;3.7024;RCP4.5;H2;0.55;51;-14;
6660;44.856;3.8035;RCP4.5;H2;0.09;51;-15;
6661;44.8546;3.9047;RCP4.5;H2;0.22;52;-14;
6662;44.8531;4.0058;RCP4.5;H2;0.32;55;-16;
6663;44.8516;4.1069;RCP4.5;H2;0;58;-16;
6664;44.8499;4.2081;RCP4.5;H2;0;58;-16;
6665;44.8481;4.3092;RCP4.5;H2;0.68;54;-15;
6666;44.8463;4.4103;RCP4.5;H2;0.82;53;-16;
6667;44.8443;4.5114;RCP4.5;H2;3.07;52;-14;
6668;44.8423;4.6125;RCP4.5;H2;6.03;50;-13;
6669;44.8402;4.7136;RCP4.5;H2;5.33;51;-14;
6670;44.838;4.8147;RCP4.5;H2;7.07;48;-13;
6671;44.8356;4.9158;RCP4.5;H2;5.68;46;-12;
6672;44.8332;5.0168;RCP4.5;H2;4.7;47;-13;
6673;44.8307;5.1179;RCP4.5;H2;1.82;50;-15;
6674;44.8281;5.2189;RCP4.5;H2;2.54;54;-16;
6675;44.8255;5.32;RCP4.5;H2;1.92;55;-15;
6676;44.8227;5.421;RCP4.5;H2;0.09;61;-14;
6677;44.8198;5.522;RCP4.5;H2;0;58;-15;
6678;44.8169;5.623;RCP4.5;H2;2.12;59;-14;
6679;44.8138;5.724;RCP4.5;H2;3.37;58;-14;
6680;44.8107;5.825;RCP4.5;H2;0.09;59;-13;
6681;44.8074;5.926;RCP4.5;H2;0.71;63;-13;
6682;44.8041;6.027;RCP4.5;H2;0.01;70;-13;
6683;44.8007;6.1279;RCP4.5;H2;0;67;-14;
6684;44.7971;6.2289;RCP4.5;H2;0;55;-14;
6685;44.7935;6.3298;RCP4.5;H2;0;54;-13;
6686;44.7898;6.4307;RCP4.5;H2;0;52;-13;
6687;44.786;6.5316;RCP4.5;H2;0;62;-13;
6688;44.7822;6.6325;RCP4.5;H2;1.84;51;-15;
6689;44.7782;6.7334;RCP4.5;H2;0;52;-15;
6690;44.7741;6.8342;RCP4.5;H2;1.75;51;-15;
6691;44.77;6.9351;RCP4.5;H2;0;55;-15;
6754;44.8825;-1.1564;RCP4.5;H2;1.45;29;-13;
6755;44.8856;-1.0553;RCP4.5;H2;1.48;30;-13;
6756;44.8887;-0.9541;RCP4.5;H2;3.65;31;-12;
6757;44.8917;-0.853;RCP4.5;H2;3.62;31;-12;
6758;44.8945;-0.7519;RCP4.5;H2;3.33;32;-12;
6759;44.8973;-0.6507;RCP4.5;H2;2.93;33;-12;
6760;44.9;-0.5495;RCP4.5;H2;4.1;34;-12;
6761;44.9026;-0.4483;RCP4.5;H2;4.2;35;-13;
6762;44.9051;-0.3472;RCP4.5;H2;4.63;36;-14;
6763;44.9075;-0.246;RCP4.5;H2;4.74;36;-14;
6764;44.9098;-0.1448;RCP4.5;H2;4.63;37;-14;
6765;44.9121;-0.0435;RCP4.5;H2;4.5;37;-14;
6766;44.9142;0.0577;RCP4.5;H2;4.62;39;-14;
6767;44.9162;0.1589;RCP4.5;H2;4.73;39;-14;
6768;44.9182;0.2602;RCP4.5;H2;4.45;39;-14;
6769;44.92;0.3614;RCP4.5;H2;4.62;40;-15;
6770;44.9218;0.4626;RCP4.5;H2;4.21;40;-15;
6771;44.9235;0.5639;RCP4.5;H2;3.94;40;-15;
